"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2018/10/01","00:00","2.09","0.948","0.876","0.564","0.614","0.351","0.194","-0.827","0"
"2018/11/01","00:00","1.936","0.814","0.689","0.459","0.453","0.217","0.095","-0.814","0"
"2018/12/01","00:00","1.434","0.961","0.863","0.643","0.64","0.417","0.335","-0.344","0"
"2019/01/01","00:00","1.749","0.646","0.564","0.302","0.336","0.108","0.016","-1.48","0"
"2019/02/01","00:00","2.142","1.089","0.955","0.709","0.666","0.377","0.318","-0.42","0"
"2019/03/01","00:00","1.88","0.951","0.778","0.548","0.495","0.213","0.115","-3.268","0"
"2019/04/01","00:00","1.145","0.64","0.522","0.299","0.3","0.079","-0.003","-0.682","0"
"2019/05/01","00:00","1.184","0.469","0.348","0.121","0.107","-0.135","-0.226","-1.076","0"
"2019/06/01","00:00","1.768","1.204","1.089","0.837","0.832","0.574","0.486","-0.869","0"
"2019/07/01","00:00","3.533","1.722","1.581","1.302","1.316","1.05","0.942","0.39","0"
"2019/08/01","00:00","3.232","1.886","1.716","1.44","1.444","1.171","0.997","0.016","0"
"2019/09/01","00:00","2.113","1.434","1.306","1.066","1.027","0.748","0.659","-1.138","0"
"2019/10/01","00:00","2.759","1.713","1.486","1.224","1.16","0.833","0.719","-0.308","0"
"2019/11/01","00:00","2.812","1.02","0.823","0.604","0.556","0.289","0.141","-1.791","0"
"2019/12/01","00:00","1.588","0.843","0.705","0.469","0.471","0.236","0.102","-1.26","0"
"2020/01/01","00:00","1.893","0.86","0.732","0.502","0.495","0.259","0.161","-1.175","0"
"2020/02/01","00:00","1.381","0.843","0.732","0.505","0.477","0.223","0.131","-1.093","0"
"2020/03/01","00:00","3.087","1.247","1.033","0.778","0.71","0.387","0.315","-0.804","0"
"2020/04/01","00:00","1.732","0.919","0.791","0.528","0.538","0.285","0.18","-0.328","0"
"2020/05/01","00:00","1.424","0.65","0.509","0.249","0.249","-0.01","-0.115","-1.476","0"
"2020/06/01","00:00","2.287","1.535","1.424","1.191","1.196","0.968","0.876","0.026","0"
